,location,pic,X,Y,X_New,Y_New
0,main gate,p1,240.824,92.5503,-133.176,761.4497
1,university gate,p1,1236.97,392.277,862.97,461.723
2,auditorium NW,p1,968.101,498.063,594.101,355.937
3,auditorium NE,p1,1142.21,542.14,768.21,311.86
4,pond1 NW,p1,1276.64,564.179,902.6400000000001,289.821
5,pond1 NE,p1,1439.73,597.237,1065.73,256.76300000000003
6,auditorium NW,p2,1012.96,136.317,627.96,746.683
7,auditorium NE,p2,1181.68,177.357,796.6800000000001,705.643
8,auditorium SW,p2,967.36,437.277,582.36,445.723
9,auditorium SE,p2,1097.32,466.917,712.3199999999999,416.083
10,pond1 NW,p2,1320.76,202.437,935.76,680.563
11,pond1 NE,p2,1489.48,232.077,1104.48,650.923
12,pond1 SW,p2,1279.72,407.636999999999,894.72,475.363000000001
13,pond1 SE,p2,1439.32,450.957,1054.32,432.043
14,medha bhawan NW,p2,1384.6,521.637,999.5999999999999,361.36300000000006
15,medha bhawan NE,p2,1539.64,562.677,1154.64,320.323
16,pond2 NW,p2,974.2,542.156999999999,589.2,340.843000000001
17,pond2 NE,p2,1256.92,605.997,871.9200000000001,277.00300000000004
18,playground NW,p2,297.04,456.139,-87.95999999999998,426.861
19,playground NE,p2,611.68,561.019,226.67999999999995,321.981
20,premananda NE,p2,228.64,597.499,-156.36,285.501
21,premananda SE,p2,205.84,676.883999999999,-179.16,206.116000000001
22,premananda NW,p3,32.5974,55.5214,756.28,324.51199999999994
23,premananda NE,p3,256.29,105.738,-346.4026,828.4786
24,premananda SW,p3,14.3368,137.694,-122.70999999999998,778.262
25,premananda SE,p3,233.465,183.345999999999,-364.6632,746.306
26,playground NE,p3,644.329,69.2169,-145.535,700.654000000001
27,playground SE,p3,555.308,532.581,265.32899999999995,814.7831
28,playground SW,p3,206.074,445.843,176.308,351.419
29,ramkrishnananda bhawan NW,p3,62.271,566.819,-172.926,438.157
30,ramkrishnananda bhawan NE,p3,174.117,589.645,-316.729,317.18100000000004
31,school of mathematics NW,p3,708.241,658.123,-204.883,294.355
32,school of mathematics NE,p3,902.261,706.057,329.241,225.87699999999995
33,pond2 NW,p3,1007.26,55.1254,523.261,177.94299999999998
34,pond2 NE,p3,1288.02,119.434,628.26,828.8746
35,pond2 SW,p3,870.305,534.863,909.02,764.566
36,pond2 SE,p3,1217.26,617.036,491.30499999999995,349.13699999999994
37,medha bhawan NW,p3,1413.56,34.7706,838.26,266.96400000000006
38,medha bhawan NE,p3,1571.06,71.2919,1034.56,849.2293999999999
39,medha bhawan SW,p3,1313.13,468.461,1192.06,812.7081000000001
40,medha bhawan SE,p3,1470.62,500.417,934.1300000000001,415.539
41,statue,p2,1141.28,558.488,1091.62,383.583
42,ramkrishnananda bhawan NW,p4,91.6832,267.923,-38.25400000000002,191.016000000001
43,ramkrishnananda bhawan NE,p4,203.214,290.684,-286.3168,614.077
44,ramkrishnananda bhawan SW,p4,48.4368,459.116999999999,-174.786,591.316
45,ramkrishnananda bhawan SE,p4,182.3728,479.603,-329.5632,422.883000000001
46,playground SE,p4,585.603,233.780999999999,-195.6272,402.397
47,playground SW,p4,228.250999999999,151.84,207.60299999999995,648.219000000001
48,godown NW,p4,362.543,391.661,-149.749000000001,730.16
49,godown NE,p4,624.297,464.496999999999,-15.456999999999994,490.339
50,school of mathematics NW,p4,733.552,357.519,246.29700000000003,417.503000000001
51,school of mathematics NE,p4,931.575,405.318,355.552,524.481
52,school of mathematics SW,p4,699.41,516.848,553.575,476.682
53,school of mathematics SE,p4,890.605,550.99,321.40999999999997,365.15200000000004
54,school of heritage NW,p4,1143.25,455.393,512.605,331.01
55,school of heritage NE,p4,1339.0,500.915,765.25,426.607
56,school of heritage SE,p4,1300.31,657.968,961.0,381.085
57,school of heritage SW,p4,1106.84,604.169,922.31,224.03200000000004
58,pond2 SW,p4,899.709,234.608,728.8399999999999,277.831
59,pond2 SE,p4,1247.96,318.825,521.709,647.392
60,medha bhawan SW,p4,1341.28,166.324,869.96,563.175
61,medha bhawan SE,p4,1498.33,200.465999999999,963.28,715.6759999999999
62,godown NW,p3,340.746,692.983999999999,1120.33,681.534000000001
63,ramkrishnananda bhawan SW,p5,96.1806,85.1101,-286.8194,795.8899
64,ramkrishnananda bhawan SE,p5,232.617,107.859,-150.383,773.141
65,godown NW,p5,416.933,19.1398,33.93299999999999,861.8602
66,godown NE,p5,676.265,82.8353,293.265,798.1647
67,godown SW,p5,323.665,383.114,-59.33499999999998,497.886
68,godown SE,p5,596.645,446.809,213.64499999999998,434.191
69,bijnanananda bhawan NW,p5,535.225,546.901999999999,152.22500000000002,334.098000000001
70,bijnanananda bhawan NE,p5,619.394,565.101,236.394,315.899
71,bijnanananda bhawan SW,p5,514.751,637.896,131.75099999999998,243.10400000000004
72,bijnanananda bhawan SE,p5,596.645,656.095,213.64499999999998,224.90499999999997
73,akhandananda bhawan NW,p5,678.539,583.3,295.539,297.70000000000005
74,akhandananda bhawan SW,p5,648.966,662.919,265.966,218.08100000000002
75,akhandananda bhawan NE,p5,844.603,619.697,461.60299999999995,261.303
76,akhandananda bhawan SE,p5,842.328,683.393,459.328,197.60699999999997
77,school of mathematics SW,p5,746.725,146.531,363.725,734.469
78,school of mathematics NE,p5,981.093,32.7888,598.093,848.2112
79,school of mathematics SE,p5,942.421,178.379,559.421,702.621
