"locations","x_global","y_global"
"akhandananda bhawan NE",693.617855847375,2150.13955002596
"akhandananda bhawan NW",527.224355847376,2110.24405002596
"akhandananda bhawan SE",690.196355847376,2212.81955002596
"akhandananda bhawan SW",497.592855847376,2191.16355002596
"atmavikas bhawan NE",1311.78669294114,2037.12610635464
"atmavikas bhawan NW",1232.53735960781,2023.54043968798
"atmavikas bhawan SE",1275.52769294114,2292.76510635464
"atmavikas bhawan SW",1151.27169294114,2269.35710635464
"auditorium NE",1139.68858333333,540.838491666667
"auditorium NW",968.84725,497.773825
"auditorium SE",1045.06361965802,815.986619981173
"auditorium SW",933.270119658025,790.685619981174
"bijnanananda bhawan NE",467.961355847376,2095.43505002596
"bijnanananda bhawan NW",382.483355847376,2077.20005002596
"bijnanananda bhawan SE",446.309355847376,2184.32555002596
"bijnanananda bhawan SW",364.252855847376,2168.37455002596
"godown NE",524.932688966501,1616.63960703969
"godown NW",264.322786210708,1547.37679919092
"godown SE",446.309355847376,1976.90855002596
"godown SW",171.645355847376,1910.80285002596
"main gate",239.355333333333,94.9378833333331
"medha bhawan NE",1496.71509866768,926.551428531625
"medha bhawan NW",1339.89909866768,888.586661864959
"medha bhawan SE",1395.6468015955,1356.41980278614
"medha bhawan SW",1239.6885515955,1322.21905278614
"playground NE",568.704070010165,923.90597698293
"playground NW",252.949083333332,818.853908333332
"playground SE",479.704583466429,1385.98995983852
"playground SW",129.005142722455,1303.58590516836
"pond1 NE",1442.10525,595.075158333334
"pond1 NW",1277.87525,565.360158333334
"pond1 SE",1394.93311965802,818.487119981173
"pond1 SW",1234.78161965802,774.468619981173
"pond2 NE",1211.70643200102,974.273461864959
"pond2 NW",931.650098667683,908.266928531625
"pond2 SE",1145.46101679976,1471.65362650518
"pond2 SW",796.138350133096,1390.86362650518
"prajna bhawan SE",946.451692941142,1989.96277302131
"prajna bhawan SW",738.622026274475,1942.65177302131
"premananda NE",183.164570010166,960.406526982931
"premananda NW",-41.9125433130014,910.382545632529
"premananda SE",160.352070010166,1038.90302698293
"premananda SW",-60.1731433130014,992.555145632529
"ramkrishnananda bhawan NE",100.508142722455,1444.90890516836
"ramkrishnananda bhawan NW",-11.1802572775447,1422.11540516836
"ramkrishnananda bhawan SE",81.1230509725629,1635.47322597011
"ramkrishnananda bhawan SW",-54.0631490274371,1613.85577597011
"school of heritage NE",1238.0946889665,1656.81784037302
"school of heritage NW",1041.90335563317,1608.68064037302
"school of heritage SE",1197.88788969127,1811.49755698408
"school of heritage SW",1003.86688969127,1757.48189031741
"school of mathematics NE",829.190780896625,1560.0673666879
"school of mathematics NW",632.460683466429,1513.15795983852
"school of mathematics SE",791.063022299834,1708.73017370635
"school of mathematics SW",596.371355633168,1673.46717370635
"statue",1097.18908333333,921.202908333332
"statute",1099.78115598272,916.929331629014
"university gate",1236.60333333333,392.460783333333
