"locations","x_global_new","y_global_new"
"akhandananda bhawan NE",676.745833333334,406.25895
"akhandananda bhawan NW",568.500483333333,226.023166666667
"akhandananda bhawan SE",659.928235294117,439.799882352941
"akhandananda bhawan SW",376.22476,548.32399
"atmavikas bhawan NE",336.98189,472.05165
"atmavikas bhawan NW",466.401281481481,490.489948148148
"atmavikas bhawan SE",366.18025,619.600275
"atmavikas bhawan SW",103.805625,178.343375
"auditorium NE",105.375891666667,172.827166666667
"auditorium NW",-1.892,188.152636363636
"auditorium SE",NA,NA
"auditorium SW",NA,NA
"bijnanananda bhawan NE",NA,NA
"bijnanananda bhawan NW",NA,NA
"bijnanananda bhawan SE",NA,NA
"bijnanananda bhawan SW",NA,NA
"godown NE",NA,NA
"godown NW",NA,NA
"godown SE",NA,NA
"godown SW",NA,NA
"main gate",NA,NA
"medha bhawan NE",NA,NA
"medha bhawan NW",NA,NA
"medha bhawan SE",NA,NA
"medha bhawan SW",NA,NA
"playground NE",NA,NA
"playground NW",NA,NA
"playground SE",NA,NA
"playground SW",NA,NA
"pond1 NE",NA,NA
"pond1 NW",NA,NA
"pond1 SE",NA,NA
"pond1 SW",NA,NA
"pond2 NE",NA,NA
"pond2 NW",NA,NA
"pond2 SE",NA,NA
"pond2 SW",NA,NA
"prajna bhawan SE",NA,NA
"prajna bhawan SW",NA,NA
"premananda NE",NA,NA
"premananda NW",NA,NA
"premananda SE",NA,NA
"premananda SW",NA,NA
"ramkrishnananda bhawan NE",NA,NA
"ramkrishnananda bhawan NW",NA,NA
"ramkrishnananda bhawan SE",NA,NA
"ramkrishnananda bhawan SW",NA,NA
"school of heritage NE",NA,NA
"school of heritage NW",NA,NA
"school of heritage SE",NA,NA
"school of heritage SW",NA,NA
"school of mathematics NE",NA,NA
"school of mathematics NW",NA,NA
"school of mathematics SE",NA,NA
"school of mathematics SW",NA,NA
"statue",NA,NA
"statute",NA,NA
"university gate",NA,NA
